production_budget,worldwide_gross,title_year,aspect_ratio,duration,cast_total_facebook_likes,budget,imdb_score
185000000,1002891358,2008.0,2.35,152.0,57802,185000000.0,9.0
185000000,786558145,2008.0,2.35,122.0,14959,185000000.0,6.2
185000000,554606532,2012.0,2.35,93.0,5005,185000000.0,7.2
185000000,196968626,2016.0,2.35,122.0,1327,185000000.0,7.5
180000000,720539572,2005.0,2.35,150.0,1317,180000000.0,6.9
180000000,758536735,2014.0,2.35,97.0,15516,180000000.0,7.0
180000000,532590994,2008.0,2.35,98.0,2975,180000000.0,8.4
180000000,180047784,2011.0,1.85,126.0,36017,170000000.0,7.5
179000000,181982519,2015.0,2.35,127.0,47334,176000000.0,5.4
178000000,530842489,2016.0,2.35,144.0,49684,178000000.0,7.3
178000000,364406256,2014.0,2.35,113.0,12652,178000000.0,7.9
175000000,853923085,2015.0,1.85,95.0,2944,175000000.0,8.3
175000000,731542621,2009.0,1.85,96.0,2635,175000000.0,8.3
175000000,381687380,2009.0,2.35,94.0,2579,175000000.0,6.5
175000000,294387183,2016.0,2.35,123.0,11287,175000000.0,6.9
175000000,302469017,2009.0,2.35,118.0,26683,175000000.0,5.8
175000000,221229335,1999.0,1.85,106.0,15870,170000000.0,4.8
175000000,405760225,2008.0,2.35,112.0,9131,145000000.0,5.2
175000000,174131329,2007.0,2.35,96.0,108016,175000000.0,5.4
175000000,264246220,1995.0,1.85,176.0,1004,175000000.0,6.1
175000000,151659062,2013.0,2.35,128.0,20965,175000000.0,6.3
170000000,771172112,2014.0,2.35,121.0,32438,170000000.0,8.1
170000000,623561331,2010.0,2.35,124.0,48638,200000000.0,7.0
170000000,714401889,2014.0,2.35,136.0,36188,170000000.0,7.8
170000000,703545589,2014.0,1.85,130.0,14363,170000000.0,7.6
170000000,319090241,2004.0,2.35,100.0,16264,165000000.0,6.6
170000000,401016924,2012.0,2.35,132.0,72881,170000000.0,6.1
170000000,433058296,2003.0,2.35,109.0,1769,200000000.0,6.4
170000000,277279693,2016.0,1.85,113.0,80806,170000000.0,6.4
165000000,756244673,2010.0,2.35,93.0,4628,165000000.0,6.4
165000000,652127828,2014.0,2.39,102.0,2963,165000000.0,7.9
165000000,494870991,2010.0,2.35,98.0,20453,165000000.0,8.2
165000000,496511521,2012.0,2.35,101.0,4451,165000000.0,7.8
165000000,665417894,2014.0,2.35,169.0,31488,165000000.0,8.6
165000000,379262220,2016.0,2.35,120.0,3233,165000000.0,5.5
160000000,807330936,2007.0,1.85,93.0,4705,160000000.0,6.1
160000000,650523427,2015.0,2.35,137.0,81385,160000000.0,6.6
160000000,355408305,2011.0,2.35,132.0,50983,160000000.0,7.8
160000000,329809326,2008.0,2.35,166.0,13333,150000000.0,7.8
160000000,217986320,2010.0,2.35,109.0,13388,150000000.0,6.1
160000000,181674817,2006.0,2.35,98.0,92456,160000000.0,5.6
160000000,433125655,2016.0,2.35,123.0,5505,160000000.0,7.3
155000000,418186950,2010.0,1.78,113.0,764,155000000.0,6.3
155000000,440160956,2015.0,2.35,126.0,38873,155000000.0,6.6
155000000,167297191,2004.0,2.35,206.0,24598,155000000.0,5.5
151500000,449239855,2001.0,2.35,184.0,5401,140000000.0,6.1
150000000,1274234980,2013.0,2.24,102.0,2582,150000000.0,7.6
150000000,942943935,2007.0,2.35,138.0,33433,150000000.0,7.5
150000000,896911078,2005.0,2.35,157.0,53413,150000000.0,7.6
150000000,738576929,2003.0,2.35,138.0,534,150000000.0,7.2
150000000,585532684,2007.0,2.35,104.0,13076,150000000.0,7.2
150000000,624234272,2008.0,2.35,102.0,21584,150000000.0,6.4
150000000,475825484,2005.0,1.85,115.0,57844,150000000.0,6.7
150000000,626549695,2007.0,2.35,111.0,4764,150000000.0,8.0
150000000,644600394,2013.0,2.35,112.0,59803,170000000.0,7.1
150000000,359142722,2005.0,2.35,128.0,59558,150000000.0,8.3
150000000,700868363,2015.0,2.35,131.0,21840,150000000.0,7.4
150000000,449326618,2011.0,2.35,115.0,60059,150000000.0,7.0
150000000,599516844,2008.0,1.85,89.0,3285,150000000.0,6.7
150000000,374825760,2009.0,2.35,119.0,40054,150000000.0,6.7
150000000,402231063,2009.0,2.35,105.0,54039,150000000.0,5.9
150000000,664837547,2011.0,2.35,90.0,21015,150000000.0,7.3
150000000,373136354,2015.0,2.35,120.0,40025,150000000.0,8.1
150000000,427289109,2003.0,2.35,129.0,1062,150000000.0,6.7
150000000,397501348,2006.0,2.35,124.0,34817,150000000.0,6.9
150000000,490875846,2009.0,2.35,146.0,16948,150000000.0,6.7
150000000,319713881,2010.0,2.35,103.0,2857,150000000.0,4.2
150000000,287594577,2007.0,1.85,91.0,6576,150000000.0,6.2
150000000,292817841,2009.0,2.35,88.0,2217,150000000.0,5.1
150000000,305270083,2012.0,1.85,99.0,16184,150000000.0,5.8
150000000,194995215,2007.0,2.35,115.0,31523,150000000.0,6.3
150000000,238202668,2012.0,1.85,113.0,80849,100000000.0,6.2
150000000,205440387,2013.0,2.35,131.0,18204,150000000.0,6.4
150000000,142634358,2010.0,1.85,119.0,13071,150000000.0,5.8
150000000,39549758,2011.0,2.35,88.0,2652,150000000.0,5.4
149000000,179357126,2006.0,1.85,85.0,35161,149000000.0,6.7
145000000,746921271,2012.0,1.85,93.0,2444,145000000.0,6.9
145000000,694713230,2011.0,2.35,133.0,21768,145000000.0,7.4
145000000,616102924,2014.0,2.35,102.0,23378,145000000.0,7.9
145000000,448191819,2008.0,1.85,94.0,836,40455386.33009198,4.8
145000000,269806430,2014.0,1.85,92.0,5810,145000000.0,6.9
145000000,306900902,2012.0,1.85,97.0,20645,145000000.0,7.3
145000000,121671925,2005.0,2.35,124.0,13073,130000000.0,6.0
142000000,431942139,2002.0,2.35,133.0,2538,142000000.0,6.1
140000000,385680446,2009.0,2.35,127.0,39284,150000000.0,8.0
140000000,554600000,1998.0,2.35,153.0,26029,140000000.0,6.6
140000000,370569776,2011.0,2.35,124.0,19761,140000000.0,6.9
140000000,518628619,2016.0,2.35,95.0,36095,145000000.0,7.2
140000000,375740705,2013.0,2.35,122.0,31958,130000000.0,5.8
140000000,456810575,2003.0,2.35,154.0,11945,140000000.0,7.7
140000000,203018919,2005.0,2.35,90.0,1997,100000000.0,6.1
140000000,268314513,2014.0,2.35,150.0,26490,140000000.0,6.1
140000000,268314513,2014.0,2.35,150.0,26489,140000000.0,6.1
140000000,118515678,2016.0,2.35,117.0,1950,140000000.0,6.8
140000000,133553464,2016.0,2.35,126.0,19769,140000000.0,5.5
139000000,821706375,2002.0,1.85,121.0,40484,139000000.0,7.3
138000000,184068357,2009.0,2.35,215.0,2530,130000000.0,7.7
138000000,76416746,2005.0,2.35,121.0,2705,135000000.0,5.0
137500000,263417913,2008.0,2.35,135.0,5811,150000000.0,6.8
137000000,245229234,2003.0,1.85,138.0,1814,137000000.0,5.7
137000000,85131830,2001.0,1.85,106.0,15015,137000000.0,6.4
135000000,573068425,2013.0,2.35,98.0,43286,135000000.0,7.3
135000000,532037894,2015.0,2.35,156.0,57108,135000000.0,8.1
135000000,361730660,1999.0,2.35,128.0,2037,135000000.0,6.4
135000000,245504574,2011.0,2.35,107.0,43291,135000000.0,7.2
135000000,212912137,2003.0,2.35,138.0,1205,150000000.0,7.4
135000000,286896578,2013.0,2.35,96.0,17416,135000000.0,6.5
135000000,237177349,2016.0,2.35,112.0,8306,135000000.0,6.3
135000000,157956466,2011.0,2.35,100.0,62644,135000000.0,5.9
135000000,163818556,2002.130733382389,1.33,60.0,1687,1500000.0,7.5
132000000,606836535,2005.0,1.85,116.0,12758,132000000.0,6.5
132000000,367650911,2014.0,1.85,92.0,19963,132000000.0,6.7
130000000,864868047,2013.0,2.35,146.0,49355,130000000.0,7.6
130000000,796688549,2004.0,2.35,142.0,33284,130000000.0,7.8
130000000,442161562,2007.0,2.35,115.0,17369,110000000.0,8.1
130000000,631910531,2008.0,2.35,92.0,12754,130000000.0,7.6
130000000,518602163,2015.0,1.85,117.0,5730,130000000.0,7.4
130000000,554987477,2011.0,2.35,90.0,5046,130000000.0,6.7
130000000,321887208,2010.0,2.35,95.0,46120,130000000.0,7.3
130000000,273271982,2003.0,2.35,147.0,12954,130000000.0,6.6
130000000,493738435,2014.0,2.35,101.0,1031,103000000.0,6.4
130000000,290650494,2010.0,2.35,101.0,12406,110000000.0,6.4
130000000,373993951,2011.0,2.35,107.0,4631,135000000.0,7.4
130000000,251499665,2013.0,2.35,100.0,14168,130000000.0,4.9
130000000,215080810,2008.0,2.35,165.0,921,130000000.0,6.6
130000000,79072464,2013.0,2.35,96.0,31549,130000000.0,5.6
127500000,356148063,2000.0,1.85,82.0,2945,127500000.0,6.5
127000000,356546621,2014.0,1.85,98.0,53587,127000000.0,6.2
125000000,1341511219,2011.0,2.126976154236567,108.5771861260381,11036,40455386.33009198,7.5
125000000,766652288,2014.0,2.35,123.0,81385,125000000.0,6.7
125000000,974755371,2001.0,2.35,159.0,13191,125000000.0,7.5
125000000,634954103,2003.0,2.35,143.0,48184,140000000.0,8.1
125000000,960283305,2010.0,2.126976154236567,108.5771861260381,14719,40455386.33009198,6.4
125000000,767820459,2006.0,2.35,174.0,16008,125000000.0,6.6
125000000,629969804,2011.0,2.35,132.0,55345,125000000.0,7.3
125000000,535663443,2011.0,2.35,129.0,22403,125000000.0,7.5
125000000,556319450,2004.0,2.35,124.0,20553,125000000.0,6.4
125000000,399005706,2012.0,2.35,124.0,24098,130000000.0,7.0
125000000,280355920,2012.0,2.35,135.0,12175,125000000.0,6.7
125000000,238317814,1997.0,1.85,125.0,2699,125000000.0,3.7
125000000,61698899,1999.0,2.35,102.0,1815,85000000.0,6.6
123000000,345141403,2000.0,1.85,110.0,4146,123000000.0,6.0
120000000,328711434,2000.0,2.35,130.0,2684,140000000.0,6.4
120000000,288215319,2007.0,2.35,92.0,15302,130000000.0,5.6
120000000,607987022,2012.0,1.85,127.0,2121,120000000.0,8.0
120000000,229545589,2007.0,2.35,123.0,14017,110000000.0,5.2
120000000,200421835,2016.0,2.35,123.0,13752,120000000.0,7.1
120000000,227200000,2003.0,2.35,107.0,4046,120000000.0,4.8
120000000,286192091,2013.0,2.35,109.0,17689,115000000.0,6.6
120000000,287916633,2013.0,2.35,124.0,22004,120000000.0,7.0
120000000,166000000,2002.0,1.85,77.0,2682,120000000.0,5.4
120000000,107212751,2004.0,2.35,134.0,17159,105000000.0,6.7
120000000,93394462,2008.0,2.35,135.0,902,120000000.0,6.1
120000000,49628177,2010.0,1.85,121.0,993,120000000.0,5.3
117000000,258751370,2010.0,2.35,117.0,12731,117000000.0,6.3
115000000,1027044677,1999.0,2.35,136.0,37723,115000000.0,6.5
115000000,848998877,2005.0,2.35,140.0,44042,113000000.0,7.6
115000000,656695615,2002.0,1.78,142.0,42990,115000000.0,6.7
115000000,559757719,2001.0,1.85,92.0,15013,115000000.0,8.1
115000000,416456852,2013.0,2.35,138.0,23755,120000000.0,6.7
115000000,178200000,1997.0,2.35,108.0,1569,116000000.0,5.8
115000000,164602163,2016.0,2.35,120.0,46719,115000000.0,6.1
115000000,77628265,2002.0,2.35,153.0,15046,115000000.0,6.0
113500000,132999811,2008.0,2.35,116.0,1609,78000000.0,5.1
112000000,232017848,2010.0,2.35,85.0,1173,112000000.0,4.9
110000000,716392705,2013.0,2.35,91.0,87,100000000.0,7.8
110000000,579446407,2006.0,1.85,108.0,55486,110000000.0,6.4
110000000,486124090,2005.0,2.35,126.0,22722,120000000.0,6.5
110000000,469590832,2015.0,2.35,114.0,16718,110000000.0,6.1
110000000,563749323,2011.0,1.78,103.0,692,110000000.0,5.5
110000000,382288147,2007.0,2.35,129.0,13961,110000000.0,7.2
110000000,362989076,2004.0,2.35,125.0,19359,110000000.0,6.4
110000000,339504276,1997.0,2.35,119.0,2958,110000000.0,6.5
110000000,215300000,2000.0,2.35,142.0,19454,110000000.0,7.1
110000000,330780051,2014.0,2.35,102.0,10583,110000000.0,6.2
110000000,208370892,2004.0,2.35,170.0,34582,110000000.0,7.5
110000000,229155503,2011.0,2.35,119.0,13391,120000000.0,5.8
110000000,263880341,2011.0,2.35,127.0,22254,110000000.0,7.1
110000000,348547523,2013.0,1.85,105.0,914,105000000.0,5.4
110000000,152364370,2009.0,2.35,106.0,19906,100000000.0,6.4
110000000,89737191,2013.0,2.35,114.0,12908,110000000.0,6.7
110000000,76482461,2004.0,1.78,76.0,13607,110000000.0,5.4
110000000,150468000,1997.0,2.35,121.0,2027,160000000.0,3.7
109000000,887217688,2001.0,2.35,171.0,22342,93000000.0,8.8
109000000,133818283,2003.0,1.85,82.0,2762,109000000.0,3.8
109000000,87683966,2001.0,2.35,165.0,14196,107000000.0,6.8
108000000,640055863,2015.0,2.35,151.0,14831,108000000.0,8.1
105000000,348629585,2004.0,2.35,115.0,12068,120000000.0,7.1
105000000,298815224,1999.0,1.85,84.0,3382,133000000.0,5.9
105000000,270997378,2009.0,1.85,97.0,2480,105000000.0,7.1
105000000,269065678,2002.130733382389,2.126976154236567,22.0,5,40455386.33009198,7.2
105000000,10364769,2001.0,1.85,104.0,3133,90000000.0,4.4
103300000,232643008,2000.0,2.35,127.0,29069,90000000.0,6.5
103000000,457683805,2000.0,2.35,171.0,6521,103000000.0,8.5
102500000,212282709,2009.0,2.35,140.0,64599,100000000.0,7.0
102000000,358824714,2002.0,2.35,145.0,12546,102000000.0,7.7
102000000,130673154,2012.0,2.35,172.0,22686,102000000.0,7.5
100000000,878979634,2002.0,2.35,174.0,35672,100000000.0,7.4
100000000,513815401,1991.0,2.35,153.0,2829,102000000.0,8.5
100000000,336529144,1995.0,1.85,121.0,2880,100000000.0,5.4
100000000,331323410,2004.0,2.35,131.0,13679,100000000.0,6.9
100000000,449948323,2012.0,2.35,165.0,40978,100000000.0,8.5
100000000,310650574,2010.0,1.85,98.0,24082,100000000.0,5.5
100000000,365300000,1994.0,2.35,141.0,4528,115000000.0,7.2
100000000,267985456,2007.0,1.85,176.0,20354,100000000.0,7.8
100000000,236827677,2009.0,2.35,90.0,1227,100000000.0,7.0
100000000,170936470,2010.0,2.35,116.0,20233,100000000.0,6.7
100000000,391976723,2013.0,2.35,240.0,46057,100000000.0,8.2
100000000,262794441,2013.0,2.35,102.0,14552,100000000.0,6.7
100000000,234400000,1996.0,2.35,115.0,3454,100000000.0,6.1
100000000,325500000,1996.0,1.78,91.0,4842,100000000.0,6.9
100000000,169296573,2000.0,1.66,78.0,2039,100000000.0,7.3
100000000,311979256,2012.0,2.35,103.0,57881,92000000.0,6.7
100000000,99123656,2009.0,2.35,101.0,1738,100000000.0,6.8
100000000,249488115,2006.0,2.35,104.0,4487,100000000.0,5.1
100000000,212026975,1999.0,2.35,121.0,3903,83000000.0,5.7
100000000,96221971,2004.0,1.85,93.0,13748,90000000.0,5.2
100000000,145395745,2007.0,1.85,85.0,25590,100000000.0,6.8
100000000,171377916,2006.0,2.35,143.0,33160,100000000.0,8.0
100000000,139716717,2010.0,2.35,101.0,4286,80000000.0,7.0
100000000,121100000,1997.0,1.85,129.0,2031,105000000.0,7.2
100000000,69548641,2009.0,1.85,102.0,10552,100000000.0,5.4
100000000,82145379,2004.0,2.35,87.0,3144,100000000.0,3.3
100000000,209461378,2014.0,2.35,131.0,52610,90000000.0,6.1
100000000,91800000,2002.0,1.5,95.0,26940,140000000.0,7.1
100000000,97523020,2010.0,2.35,115.0,13761,100000000.0,6.9
100000000,103039258,2014.0,2.35,119.0,54031,100000000.0,6.3
100000000,59918422,2005.0,1.85,94.0,1195,84000000.0,2.2
100000000,13835130,1997.0,1.85,110.0,1722,10000000.0,7.3
100000000,7094995,2002.0,1.85,95.0,6161,100000000.0,3.8
99000000,244778411,2015.0,1.85,88.0,309,99000000.0,7.2
98000000,435040395,2001.0,2.35,130.0,15972,98000000.0,6.3
97000000,183124621,2002.0,2.35,216.0,47657,100000000.0,7.5
95000000,879765137,2012.0,2.35,88.0,25354,95000000.0,6.6
95000000,159691085,2001.0,2.35,152.0,4270,92000000.0,7.7
95000000,223050874,2010.0,2.35,118.0,14024,95000000.0,5.9
95000000,169511609,2010.0,2.35,98.0,25780,100000000.0,6.8
95000000,263900000,1997.0,2.35,126.0,39319,93000000.0,7.7
95000000,65700000,2000.0,1.85,89.0,3372,95000000.0,6.9
95000000,94894448,2009.0,2.35,135.0,2370,65000000.0,6.7
95000000,94894448,2009.0,2.35,135.0,2369,65000000.0,6.7
95000000,110623265,2014.0,2.35,102.0,17098,95000000.0,5.5
94000000,936429370,2003.0,1.85,100.0,5641,94000000.0,8.2
94000000,1141408667,2003.0,2.35,192.0,6434,94000000.0,8.9
94000000,934703179,2002.0,2.35,172.0,23052,94000000.0,8.7
94000000,273330185,2001.0,2.35,100.0,12150,115000000.0,5.7
93000000,365900000,2001.0,1.85,92.0,2574,93000000.0,5.9
93000000,482860185,2011.0,2.35,105.0,13118,93000000.0,7.6
92500000,162839667,2008.0,2.35,107.0,1614,90000000.0,6.6
92000000,614726752,2004.0,2.35,115.0,1901,92000000.0,8.0
92000000,304249198,2013.0,1.85,101.0,15481,92000000.0,5.3
92000000,18517322,1995.0,2.35,124.0,3611,98000000.0,5.6
91000000,188536838,2013.0,2.35,114.0,5095,90000000.0,7.3
90000000,587790539,1997.0,1.85,98.0,12998,90000000.0,7.3
90000000,511358276,1999.0,1.85,82.0,21275,90000000.0,7.9
90000000,347425832,2001.0,2.35,90.0,664,90000000.0,6.6
90000000,498438212,2009.0,1.85,128.0,23996,90000000.0,7.6
90000000,859701857,2009.0,1.85,94.0,1258,90000000.0,7.0
90000000,288693989,2000.0,2.35,130.0,12890,100000000.0,6.6
90000000,487519809,2011.0,2.35,96.0,12071,90000000.0,7.0
90000000,289660619,2006.0,2.35,151.0,45648,90000000.0,8.5
90000000,259736090,2000.0,2.35,94.0,15419,92000000.0,5.5
90000000,303500000,1998.0,1.66,88.0,4478,90000000.0,7.5
90000000,191091250,2008.0,2.35,121.0,23484,92000000.0,7.0
90000000,239373970,2011.0,2.35,158.0,20388,90000000.0,7.8
90000000,165900000,1997.0,2.35,150.0,12289,90000000.0,7.4
90000000,202910991,2008.0,1.85,113.0,13446,90000000.0,5.5
90000000,366101666,1995.0,2.35,128.0,14274,90000000.0,7.6
90000000,235296080,2015.0,1.85,92.0,38450,90000000.0,5.0
90000000,186049020,2001.0,2.35,95.0,15237,120000000.0,6.8
90000000,203902107,2008.0,1.85,121.0,14165,75000000.0,7.1
90000000,244126300,2015.0,2.35,106.0,35367,88000000.0,5.6
90000000,235900000,2001.0,1.85,146.0,6217,100000000.0,7.1
90000000,155750628,2003.0,2.35,88.0,2622,90000000.0,4.9
90000000,191200000,2000.0,1.85,119.0,2356,95000000.0,5.7
90000000,162753837,2005.0,2.35,128.0,2100,80000000.0,6.4
90000000,200859554,2013.0,2.35,106.0,10882,90000000.0,5.9
90000000,157092943,2003.0,2.35,117.0,33154,95000000.0,5.5
90000000,313404841,2016.0,2.35,129.0,23031,90000000.0,6.9
90000000,143049560,2001.0,2.35,114.0,12499,92000000.0,7.0
90000000,169400000,1997.0,2.35,116.0,475,68000000.0,6.2
90000000,106000000,2000.0,2.35,114.0,4902,90000000.0,5.6
90000000,87420776,1999.0,1.85,132.0,55254,100000000.0,6.8
90000000,120100000,1997.0,1.85,104.0,5062,90000000.0,5.4
90000000,140900000,1997.0,2.35,111.0,26088,86000000.0,6.1
90000000,65716126,2002.0,2.35,138.0,15149,100000000.0,6.7
90000000,139877913,2011.0,2.35,110.0,27694,75000000.0,5.8
90000000,20466016,2010.0,2.35,110.0,2728,90000000.0,4.4
88000000,105021488,2005.0,2.35,144.0,2523,88000000.0,8.0
86000000,148715342,2003.0,2.35,140.0,13808,87000000.0,7.3
85000000,427230516,2000.0,1.85,143.0,15838,90000000.0,7.7
85000000,450728529,2001.0,2.35,116.0,13028,85000000.0,7.8
85000000,288587450,2004.0,2.35,108.0,14161,75000000.0,7.8
85000000,315268353,1997.0,2.35,124.0,23603,85000000.0,6.4
85000000,276014965,2014.0,2.35,139.0,22226,85000000.0,6.7
85000000,378505812,2012.0,1.85,91.0,37142,85000000.0,7.1
85000000,340384141,2007.0,2.35,107.0,662,85000000.0,7.1
85000000,208542162,2012.0,2.35,115.0,36237,85000000.0,6.8
85000000,311744465,2007.0,2.35,122.0,43499,85000000.0,6.9
85000000,224614744,2009.0,1.85,120.0,15226,85000000.0,6.6
85000000,250649836,1998.0,2.35,140.0,11951,90000000.0,7.3
85000000,191932158,2006.0,1.85,83.0,6081,85000000.0,6.2
85000000,153487972,2011.0,2.35,104.0,3768,75000000.0,6.2
85000000,66941559,2000.0,1.85,100.0,4182,85000000.0,4.8
85000000,173613482,2012.0,1.85,106.0,11454,85000000.0,5.6
85000000,205190324,2006.0,1.85,138.0,17423,85000000.0,6.9
85000000,157794205,2006.0,2.35,104.0,1235,85000000.0,6.0
85000000,161510853,2005.0,2.35,145.0,2380,85000000.0,7.3
85000000,96971293,2001.0,2.35,131.0,5103,68000000.0,7.6
85000000,137298489,1993.0,2.35,130.0,2407,70000000.0,6.2
85000000,80831893,2003.0,2.35,104.0,16930,85000000.0,6.7
85000000,149717124,2011.0,1.85,97.0,2707,100000000.0,7.1
85000000,114979922,2010.0,1.85,82.0,3326,85000000.0,4.3
85000000,44650003,1998.0,1.85,178.0,23950,90000000.0,7.1
85000000,78353508,2002.0,1.85,108.0,1460,85000000.0,5.5
85000000,83080084,2007.0,2.35,162.0,36928,65000000.0,7.7
85000000,48056764,2010.0,1.85,112.0,12687,60000000.0,7.5
85000000,74132631,2003.0,2.35,135.0,1439,60000000.0,5.4
84000000,276294164,2002.0,1.85,86.0,6355,84000000.0,4.9
84000000,166307945,2000.0,1.85,109.0,2818,65000000.0,4.3
84000000,137162560,2013.0,2.35,116.0,25220,84000000.0,6.7
82500000,237685089,2006.0,1.85,107.0,12700,70000000.0,6.4
82500000,143985708,2006.0,1.85,97.0,23907,40455386.33009198,6.4
82500000,223636949,2008.0,2.35,88.0,21863,85000000.0,6.1
82500000,160388063,2008.0,1.85,120.0,3632,85000000.0,7.0
82000000,190320568,2005.0,2.35,113.0,13693,82000000.0,6.4
82000000,268268174,2010.0,2.35,113.0,46355,80000000.0,6.5
82000000,96024898,2000.0,2.35,123.0,5839,82000000.0,5.9
81000000,483473962,2003.0,1.85,101.0,21276,81000000.0,6.7
80000000,677923379,2012.0,2.35,142.0,49942,78000000.0,7.3
80000000,586464305,2011.0,2.35,102.0,16143,80000000.0,6.5
80000000,470909901,2015.0,1.85,89.0,26839,80000000.0,6.7
80000000,266824291,1992.0,1.85,126.0,2899,80000000.0,7.0
80000000,343397247,2006.0,1.85,83.0,22813,80000000.0,6.8
80000000,245800000,2002.0,1.66,85.0,3112,80000000.0,7.2
80000000,349464664,1998.0,2.35,120.0,22750,75000000.0,6.1
80000000,247023808,2013.0,1.85,101.0,39269,80000000.0,5.4
80000000,349088523,2011.0,1.85,87.0,4073,75000000.0,4.4
80000000,226739416,2008.0,1.85,110.0,44798,80000000.0,6.5
80000000,260700012,2005.0,1.85,91.0,1804,75000000.0,6.3
80000000,299461782,2010.0,2.35,138.0,29585,80000000.0,8.1
80000000,266685242,2003.0,1.85,128.0,22679,80000000.0,6.7
80000000,168311558,2008.0,1.85,88.0,9913,80000000.0,5.6
80000000,241200000,1997.0,2.35,138.0,17087,80000000.0,7.3
80000000,221468935,2008.0,2.35,99.0,12831,80000000.0,6.1
80000000,183354514,2002.0,2.35,117.0,16828,80000000.0,7.7
80000000,214974953,2011.0,1.85,117.0,16325,80000000.0,6.4
80000000,178066569,2008.0,2.35,118.0,5637,80000000.0,6.6
80000000,224117573,1997.0,2.35,123.0,15362,75000000.0,6.8
80000000,204774690,2010.0,1.85,80.0,4394,80000000.0,4.6
