movie_title,production_budget,budget,imdb_score,opening_gross,screens,duration,title_year,cast_total_facebook_likes,aspect_ratio,worldwide_gross
The Chronicles of Narnia: Prince Caspian ,225000000,225000000.0,6.6,55034805.0,3929.0,150.0,2008.0,22697,2.35,417341288
The Amazing Spider-Man ,220000000,230000000.0,7.0,62004688.0,4318.0,153.0,2012.0,28489,2.35,757890267
Jurassic World ,215000000,150000000.0,7.0,208806270.0,4274.0,124.0,2015.0,8458,2.0,1670328025
Transformers: Revenge of the Fallen ,210000000,200000000.0,6.0,108966307.0,4234.0,150.0,2009.0,3218,2.35,836519699
Transformers: Age of Extinction ,210000000,210000000.0,5.7,100038390.0,4233.0,165.0,2014.0,3988,2.35,1104039076
X-Men: The Last Stand ,210000000,210000000.0,6.8,122861157.0,2239.67397260274,104.0,2006.0,21714,2.35,459359555
Robin Hood ,210000000,200000000.0,6.7,36063385.0,3503.0,156.0,2010.0,3244,2.35,322241588
Battleship ,209000000,209000000.0,5.9,25534825.0,3690.0,131.0,2012.0,26679,2.35,305218228
Titanic ,200000000,200000000.0,7.7,28638131.0,2674.0,194.0,1997.0,45223,2.35,2207615668
Toy Story 3 ,200000000,200000000.0,8.3,110307189.0,4028.0,103.0,2010.0,19085,1.85,1069818229
Iron Man 3 ,200000000,200000000.0,7.2,174144585.0,4253.0,195.0,2013.0,30426,2.35,1215392272
Spider-Man 2 ,200000000,200000000.0,7.3,115817364.0,4152.0,135.0,2004.0,43388,2.35,783705001
Skyfall ,200000000,200000000.0,7.8,88364714.0,3505.0,143.0,2012.0,2039,2.35,1110526981
Monsters University ,200000000,200000000.0,7.3,82429469.0,4004.0,104.0,2013.0,14863,1.85,743588329
Oz the Great and Powerful ,200000000,215000000.0,6.4,79110453.0,3912.0,130.0,2013.0,73441,2.35,490359051
X-Men: Days of Future Past ,200000000,200000000.0,8.0,90823660.0,3996.0,149.0,2014.0,91434,2.35,747862775
The Amazing Spider-Man 2 ,200000000,200000000.0,6.7,91608337.0,4324.0,142.0,2014.0,28631,2.35,708996336
Cars 2 ,200000000,200000000.0,6.3,66135507.0,4115.0,106.0,2011.0,4482,2.35,560155383
TRON: Legacy ,200000000,170000000.0,6.8,44026211.0,3451.0,125.0,2010.0,25550,2.35,397562763
2012 ,200000000,200000000.0,5.8,65237614.0,3404.0,158.0,2009.0,2144,2.35,788408539
Terminator Salvation ,200000000,200000000.0,6.6,42558390.0,3530.0,118.0,2009.0,27468,2.35,365491792
Green Lantern ,200000000,200000000.0,5.6,53174303.0,3816.0,123.0,2011.0,17657,2.35,231201172
Prince of Persia: The Sands of Time ,200000000,200000000.0,6.6,37813075.0,3646.0,116.0,2010.0,16149,2.35,314594597
Transformers: Dark of the Moon ,195000000,195000000.0,6.3,97400000.0,4013.0,154.0,2011.0,2593,2.35,1123790543
Jack the Giant Slayer ,195000000,195000000.0,6.3,27202226.0,3525.0,114.0,2013.0,1766,2.35,197687603
Furious 7 ,190000000,190000000.0,7.2,147187040.0,4004.0,140.0,2015.0,79150,2.35,1514019071
Star Trek Into Darkness ,190000000,190000000.0,7.8,70165559.0,3868.0,132.0,2013.0,21411,2.35,467381584
World War Z ,190000000,190000000.0,7.0,66411834.0,3607.0,123.0,2013.0,32392,2.35,531514650
A Christmas Carol ,190000000,200000000.0,6.8,30051075.0,3683.0,96.0,2009.0,48878,2.35,315709697
Pacific Rim ,190000000,190000000.0,7.0,37285325.0,3275.0,131.0,2013.0,19166,1.85,411002906
The Good Dinosaur ,187500000,37123391.33528162,6.8,39155217.0,3749.0,93.0,2015.0,696,2.35,334354269
Iron Man ,186000000,140000000.0,7.9,98618668.0,4105.0,126.0,2008.0,39252,2.35,582443126
The Dark Knight ,185000000,185000000.0,9.0,158411483.0,4366.0,152.0,2008.0,57802,2.35,1002891358
Indiana Jones and the Kingdom of the Crystal Skull ,185000000,185000000.0,6.2,126917373.0,4260.0,122.0,2008.0,14959,2.35,786558145
Brave ,185000000,185000000.0,7.2,66323594.0,4164.0,93.0,2012.0,5005,2.35,554606532
Star Trek Beyond ,185000000,185000000.0,7.5,59253211.0,3928.0,122.0,2016.0,1327,2.35,196968626
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",180000000,180000000.0,6.9,65556312.0,2239.67397260274,150.0,2005.0,1317,2.35,720539572
WALL·E ,180000000,180000000.0,8.4,63087526.0,3992.0,98.0,2008.0,2975,2.35,532590994
Hugo ,180000000,170000000.0,7.5,11364505.0,1277.0,126.0,2011.0,36017,1.85,180047784
Jupiter Ascending ,179000000,176000000.0,5.4,18372372.0,3181.0,127.0,2015.0,47334,2.35,181982519
X-Men: Apocalypse ,178000000,178000000.0,7.3,65000000.0,4150.0,144.0,2016.0,49684,2.35,530842489
Edge of Tomorrow ,178000000,178000000.0,7.9,28760246.0,3490.0,113.0,2014.0,12652,2.35,364406256
Inside Out ,175000000,175000000.0,8.3,90440272.0,3946.0,95.0,2015.0,2944,1.85,853923085
Up ,175000000,175000000.0,8.3,68108790.0,3.0,96.0,2009.0,2635,1.85,731542621
Monsters vs. Aliens ,175000000,175000000.0,6.5,59321095.0,4104.0,94.0,2009.0,2579,2.35,381687380
G.I. Joe: The Rise of Cobra ,175000000,175000000.0,5.8,54713046.0,4007.0,118.0,2009.0,26683,2.35,302469017
Wild Wild West ,175000000,170000000.0,4.8,49705055.0,3342.0,106.0,1999.0,15870,1.85,221229335
The Mummy: Tomb of the Dragon Emperor ,175000000,145000000.0,5.2,40457770.0,3760.0,112.0,2008.0,9131,2.35,405760225
Evan Almighty ,175000000,175000000.0,5.4,31192615.0,3604.0,96.0,2007.0,108016,2.35,174131329
47 Ronin ,175000000,175000000.0,6.3,9869000.0,2689.0,128.0,2013.0,20965,2.35,151659062
Guardians of the Galaxy ,170000000,170000000.0,8.1,94320883.0,4080.0,121.0,2014.0,32438,2.35,771172112
Iron Man 2 ,170000000,200000000.0,7.0,128122480.0,4380.0,124.0,2010.0,48638,2.35,623561331
Captain America: The Winter Soldier ,170000000,170000000.0,7.8,95023721.0,3938.0,136.0,2014.0,36188,2.35,714401889
Dawn of the Planet of the Apes ,170000000,170000000.0,7.6,72611427.0,3967.0,130.0,2014.0,14363,1.85,703545589
The Polar Express ,170000000,165000000.0,6.6,40428.0,11.0,100.0,2004.0,16264,2.35,319090241
Snow White and the Huntsman ,170000000,170000000.0,6.1,56217700.0,3773.0,132.0,2012.0,72881,2.35,401016924
Terminator 3: Rise of the Machines ,170000000,200000000.0,6.4,44041440.0,3504.0,109.0,2003.0,1769,2.35,433058296
Alice Through the Looking Glass ,170000000,170000000.0,6.4,28112000.0,3763.0,113.0,2016.0,80806,1.85,277279693
Shrek Forever After ,165000000,165000000.0,6.4,70838207.0,4359.0,93.0,2010.0,4628,2.35,756244673
Big Hero 6 ,165000000,165000000.0,7.9,56215889.0,3761.0,102.0,2014.0,2963,2.39,652127828
How to Train Your Dragon ,165000000,165000000.0,8.2,43732319.0,4055.0,98.0,2010.0,20453,2.35,494870991
Wreck-It Ralph ,165000000,165000000.0,7.8,49038712.0,3752.0,101.0,2012.0,4451,2.35,496511521
Interstellar ,165000000,165000000.0,8.6,47510360.0,3561.0,169.0,2014.0,31488,2.35,665417894
Independence Day: Resurgence ,165000000,165000000.0,5.5,41039944.0,4068.0,120.0,2016.0,3233,2.35,379262220
Shrek the Third ,160000000,160000000.0,6.1,121629270.0,4122.0,93.0,2007.0,4705,1.85,807330936
The Hunger Games: Mockingjay - Part 2 ,160000000,160000000.0,6.6,102665981.0,4175.0,137.0,2015.0,81385,2.35,650523427
X-Men: First Class ,160000000,160000000.0,7.8,55101604.0,3641.0,132.0,2011.0,50983,2.35,355408305
The Curious Case of Benjamin Button ,160000000,150000000.0,7.8,26853816.0,2988.0,166.0,2008.0,13333,2.35,329809326
The Sorcerer's Apprentice ,160000000,150000000.0,6.1,17619622.0,3504.0,109.0,2010.0,13388,2.35,217986320
Poseidon ,160000000,160000000.0,5.6,22155410.0,3555.0,98.0,2006.0,92456,2.35,181674817
Warcraft ,160000000,160000000.0,7.3,24166110.0,3400.0,123.0,2016.0,5505,2.35,433125655
The Chronicles of Narnia: The Voyage of the Dawn Treader ,155000000,155000000.0,6.3,24005069.0,3555.0,113.0,2010.0,764,1.78,418186950
Terminator Genisys ,155000000,155000000.0,6.6,27018486.0,3758.0,126.0,2015.0,38873,2.35,440160956
Alexander ,155000000,155000000.0,5.5,13687087.0,2445.0,206.0,2004.0,24598,2.35,167297191
Pearl Harbor ,151500000,140000000.0,6.1,75177654.0,3214.0,184.0,2001.0,5401,2.35,449239855
Frozen ,150000000,150000000.0,7.6,67391326.0,3742.0,102.0,2013.0,2582,2.24,1274234980
Harry Potter and the Order of the Phoenix ,150000000,150000000.0,7.5,77108414.0,4.0,138.0,2007.0,33433,2.35,942943935
Harry Potter and the Goblet of Fire ,150000000,150000000.0,7.6,102335066.0,3858.0,157.0,2005.0,53413,2.35,896911078
The Matrix Reloaded ,150000000,150000000.0,7.2,91774413.0,3603.0,138.0,2003.0,534,2.35,738576929
I Am Legend ,150000000,150000000.0,7.2,77211321.0,3606.0,104.0,2007.0,13076,2.35,585532684
Hancock ,150000000,150000000.0,6.4,62603879.0,3965.0,102.0,2008.0,21584,2.35,624234272
Charlie and the Chocolate Factory ,150000000,150000000.0,6.7,56178450.0,2239.67397260274,115.0,2005.0,57844,1.85,475825484
Ratatouille ,150000000,150000000.0,8.0,47027395.0,3940.0,111.0,2007.0,4764,2.35,626549695
Thor: The Dark World ,150000000,170000000.0,7.1,85737841.0,3841.0,112.0,2013.0,59803,2.35,644600394
Batman Begins ,150000000,150000000.0,8.3,48745440.0,3858.0,128.0,2005.0,59558,2.35,359142722
Mission: Impossible - Rogue Nation ,150000000,150000000.0,7.4,55520089.0,3956.0,131.0,2015.0,21840,2.35,700868363
Thor ,150000000,150000000.0,7.0,65723338.0,3955.0,115.0,2011.0,60059,2.35,449326618
Madagascar: Escape 2 Africa ,150000000,150000000.0,6.7,63106589.0,4056.0,89.0,2008.0,3285,1.85,599516844
X-Men Origins: Wolverine ,150000000,150000000.0,6.7,85058003.0,4099.0,119.0,2009.0,40054,2.35,374825760
Night at the Museum: Battle of the Smithsonian ,150000000,150000000.0,5.9,70052004.0,4096.0,105.0,2009.0,54039,2.35,402231063
Kung Fu Panda 2 ,150000000,150000000.0,7.3,47835000.0,3925.0,90.0,2011.0,21015,2.35,664837547
Mad Max: Fury Road ,150000000,150000000.0,8.1,45428128.0,3702.0,120.0,2015.0,40025,2.35,373136354
The Matrix Revolutions ,150000000,150000000.0,6.7,48475154.0,3502.0,129.0,2003.0,1062,2.35,427289109
Mission: Impossible III ,150000000,150000000.0,6.9,47743273.0,4054.0,124.0,2006.0,34817,2.35,397501348
Angels & Demons ,150000000,150000000.0,6.7,46204168.0,3527.0,146.0,2009.0,16948,2.35,490875846
The Last Airbender ,150000000,150000000.0,4.2,51804232.0,3169.0,103.0,2010.0,2857,2.35,319713881
Bee Movie ,150000000,150000000.0,6.2,38021044.0,3928.0,91.0,2007.0,6576,1.85,287594577
G-Force ,150000000,150000000.0,5.1,31706934.0,3697.0,88.0,2009.0,2217,2.35,292817841
Wrath of the Titans ,150000000,150000000.0,5.8,33457188.0,2239.67397260274,99.0,2012.0,16184,1.85,305270083
Beowulf ,150000000,150000000.0,6.3,27515871.0,3153.0,115.0,2007.0,31523,2.35,194995215
Dark Shadows ,150000000,100000000.0,6.2,29685274.0,3755.0,113.0,2012.0,80849,1.85,238202668
White House Down ,150000000,150000000.0,6.4,24852258.0,3222.0,131.0,2013.0,18204,2.35,205440387
The Wolfman ,150000000,150000000.0,5.8,35555065.0,3222.0,119.0,2010.0,13071,1.85,142634358
Mars Needs Moms ,150000000,150000000.0,5.4,6914488.0,3117.0,88.0,2011.0,2652,2.35,39549758
Flushed Away ,149000000,149000000.0,6.7,18814323.0,3707.0,85.0,2006.0,35161,1.85,179357126
Madagascar 3: Europe's Most Wanted ,145000000,145000000.0,6.9,60316738.0,4258.0,93.0,2012.0,2444,1.85,746921271
Mission: Impossible - Ghost Protocol ,145000000,145000000.0,7.4,29556629.0,3448.0,133.0,2011.0,21768,2.35,694713230
How to Train Your Dragon 2 ,145000000,145000000.0,7.9,49451322.0,4253.0,102.0,2014.0,23378,2.35,616102924
Mr. Peabody & Sherman ,145000000,145000000.0,6.9,32207057.0,3934.0,92.0,2014.0,5810,1.85,269806430
Rise of the Guardians ,145000000,145000000.0,7.3,23773465.0,3653.0,97.0,2012.0,20645,1.85,306900902
Sahara ,145000000,130000000.0,6.0,18068372.0,3154.0,124.0,2005.0,13073,2.35,121671925
Die Another Day ,142000000,142000000.0,6.1,47072040.0,3314.0,133.0,2002.0,2538,2.35,431942139
Star Trek ,140000000,150000000.0,8.0,75204289.0,3849.0,127.0,2009.0,39284,2.35,385680446
Armageddon ,140000000,140000000.0,6.6,36089972.0,3127.0,153.0,1998.0,26029,2.35,554600000
Captain America: The First Avenger ,140000000,140000000.0,6.9,65058524.0,3715.0,124.0,2011.0,19761,2.35,370569776
Kung Fu Panda 3 ,140000000,145000000.0,7.2,41282042.0,3955.0,95.0,2016.0,36095,2.35,518628619
G.I. Joe: Retaliation ,140000000,130000000.0,5.8,40501814.0,3719.0,122.0,2013.0,31958,2.35,375740705
The Last Samurai ,140000000,140000000.0,7.7,24271354.0,2908.0,154.0,2003.0,11945,2.35,456810575
Fun with Dick and Jane ,140000000,100000000.0,6.1,21530160.0,3056.0,90.0,2005.0,1997,2.35,203018919
Exodus: Gods and Kings ,140000000,140000000.0,6.1,24115934.0,3503.0,150.0,2014.0,26490,2.35,268314513
The BFG ,140000000,140000000.0,6.8,19584969.0,3357.0,117.0,2016.0,1950,2.35,118515678
Gods of Egypt ,140000000,140000000.0,5.5,14123903.0,3117.0,126.0,2016.0,19769,2.35,133553464
Spider-Man ,139000000,139000000.0,7.3,114844116.0,3615.0,121.0,2002.0,40484,1.85,821706375
Watchmen ,138000000,130000000.0,7.7,55214334.0,3611.0,215.0,2009.0,2530,2.35,184068357
Stealth ,138000000,135000000.0,5.0,13251545.0,3495.0,121.0,2005.0,2705,2.35,76416746
The Incredible Hulk ,137500000,150000000.0,6.8,55414050.0,3505.0,135.0,2008.0,5811,2.35,263417913
Hulk ,137000000,137000000.0,5.7,62128420.0,3660.0,138.0,2003.0,1814,1.85,245229234
Final Fantasy: The Spirits Within ,137000000,137000000.0,6.4,11408853.0,2649.0,106.0,2001.0,15015,1.85,85131830
The Croods ,135000000,135000000.0,7.3,43639736.0,4046.0,98.0,2013.0,43286,2.35,573068425
The Revenant ,135000000,135000000.0,8.1,38000000.0,3375.0,156.0,2015.0,57108,2.35,532037894
The World Is Not Enough ,135000000,135000000.0,6.4,35519007.0,3163.0,128.0,1999.0,2037,2.35,361730660
Rango ,135000000,135000000.0,7.2,38079323.0,3917.0,107.0,2011.0,43291,2.35,245504574
Master and Commander: The Far Side of the World ,135000000,150000000.0,7.4,25105990.0,3101.0,138.0,2003.0,1205,2.35,212912137
Turbo ,135000000,135000000.0,6.5,21312625.0,3806.0,96.0,2013.0,17416,2.35,286896578
Teenage Mutant Ninja Turtles: Out of the Shadows ,135000000,135000000.0,6.3,165685.0,33.0,112.0,2016.0,8306,2.35,237177349
Happy Feet 2 ,135000000,135000000.0,5.9,21237068.0,3606.0,100.0,2011.0,62644,2.35,157956466
War of the Worlds ,132000000,132000000.0,6.5,77061953.0,3908.0,116.0,2005.0,12758,1.85,606836535
Penguins of Madagascar ,132000000,132000000.0,6.7,25447444.0,3764.0,92.0,2014.0,19963,1.85,367650911
The Hunger Games: Catching Fire ,130000000,130000000.0,7.6,161125000.0,4163.0,146.0,2013.0,49355,2.35,864868047
Harry Potter and the Prisoner of Azkaban ,130000000,130000000.0,7.8,93687367.0,3855.0,142.0,2004.0,33284,2.35,796688549
The Bourne Ultimatum ,130000000,110000000.0,8.1,69283690.0,3660.0,115.0,2007.0,17369,2.35,442161562
Kung Fu Panda ,130000000,130000000.0,7.6,60239130.0,4114.0,92.0,2008.0,12754,2.35,631910531
Ant-Man ,130000000,130000000.0,7.4,57225526.0,3856.0,117.0,2015.0,5730,1.85,518602163
Puss in Boots ,130000000,130000000.0,6.7,34077439.0,3952.0,90.0,2011.0,5046,2.35,554987477
Megamind ,130000000,130000000.0,7.3,46016833.0,3944.0,95.0,2010.0,46120,2.35,321887208
Bad Boys II ,130000000,130000000.0,6.6,46522560.0,3186.0,147.0,2003.0,12954,2.35,273271982
Rio 2 ,130000000,103000000.0,6.4,39327869.0,3948.0,101.0,2014.0,1031,2.35,493738435
Salt ,130000000,110000000.0,6.4,36011243.0,3612.0,101.0,2010.0,12406,2.35,290650494
The Adventures of Tintin ,130000000,135000000.0,7.4,9720993.0,2239.67397260274,107.0,2011.0,4631,2.35,373993951
After Earth ,130000000,130000000.0,4.9,27520040.0,3401.0,100.0,2013.0,14168,2.35,251499665
Australia ,130000000,130000000.0,6.6,14800723.0,2642.0,165.0,2008.0,921,2.35,215080810
R.I.P.D. ,130000000,130000000.0,5.6,12691415.0,2852.0,96.0,2013.0,31549,2.35,79072464
Dinosaur ,127500000,127500000.0,6.5,38854851.0,3257.0,82.0,2000.0,2945,1.85,356148063
Night at the Museum: Secret of the Tomb ,127000000,127000000.0,6.2,17100520.0,3785.0,98.0,2014.0,53587,1.85,356546621
The Hunger Games: Mockingjay - Part 1 ,125000000,125000000.0,6.7,121897634.0,4151.0,123.0,2014.0,81385,2.35,766652288
Harry Potter and the Sorcerer's Stone ,125000000,125000000.0,7.5,90294621.0,3672.0,159.0,2001.0,13191,2.35,974755371
Pirates of the Caribbean: The Curse of the Black Pearl ,125000000,140000000.0,8.1,46630690.0,3269.0,143.0,2003.0,48184,2.35,634954103
The Da Vinci Code ,125000000,125000000.0,6.6,77073388.0,3735.0,174.0,2006.0,16008,2.35,767820459
Fast Five ,125000000,125000000.0,7.3,86198765.0,3644.0,132.0,2011.0,55345,2.35,629969804
Sherlock Holmes: A Game of Shadows ,125000000,125000000.0,7.5,39637079.0,3703.0,129.0,2011.0,22403,2.35,535663443
The Day After Tomorrow ,125000000,125000000.0,6.4,85807341.0,3425.0,124.0,2004.0,20553,2.35,556319450
Prometheus ,125000000,130000000.0,7.0,51050101.0,3396.0,124.0,2012.0,24098,2.35,399005706
The Bourne Legacy ,125000000,125000000.0,6.7,38142825.0,3745.0,135.0,2012.0,12175,2.35,280355920
Batman & Robin ,125000000,125000000.0,3.7,42872606.0,2934.0,125.0,1997.0,2699,1.85,238317814
The 13th Warrior ,125000000,85000000.0,6.6,10267756.0,2306.0,102.0,1999.0,1815,2.35,61698899
How the Grinch Stole Christmas ,123000000,123000000.0,6.0,55082330.0,3127.0,110.0,2000.0,4146,1.85,345141403
The Perfect Storm ,120000000,140000000.0,6.4,41325042.0,3407.0,130.0,2000.0,2684,2.35,328711434
Fantastic 4: Rise of the Silver Surfer ,120000000,130000000.0,5.6,58051684.0,3959.0,92.0,2007.0,15302,2.35,288215319
Life of Pi ,120000000,120000000.0,8.0,22451514.0,2927.0,127.0,2012.0,2121,1.85,607987022
Ghost Rider ,120000000,110000000.0,5.2,52022908.0,3619.0,123.0,2007.0,14017,2.35,229545589
Jason Bourne ,120000000,120000000.0,7.1,60000000.0,4026.0,123.0,2016.0,13752,2.35,200421835
Charlie's Angels: Full Throttle ,120000000,120000000.0,4.8,37634221.0,3459.0,107.0,2003.0,4046,2.35,227200000
Elysium ,120000000,115000000.0,6.6,29807393.0,3284.0,109.0,2013.0,17689,2.35,286192091
Oblivion ,120000000,120000000.0,7.0,37054485.0,3783.0,124.0,2013.0,22004,2.35,287916633
Stuart Little 2 ,120000000,120000000.0,5.4,15115152.0,3255.0,77.0,2002.0,2682,1.85,166000000
The Chronicles of Riddick ,120000000,105000000.0,6.7,24289165.0,2757.0,134.0,2004.0,17159,2.35,107212751
Speed Racer ,120000000,120000000.0,6.1,18561337.0,3606.0,135.0,2008.0,902,2.35,93394462
How Do You Know ,120000000,120000000.0,5.3,7484696.0,2483.0,121.0,2010.0,993,1.85,49628177
Knight and Day ,117000000,117000000.0,6.3,20139985.0,3098.0,117.0,2010.0,12731,2.35,258751370
Star Wars: Episode I - The Phantom Menace ,115000000,115000000.0,6.5,22469932.0,2655.0,136.0,1999.0,37723,2.35,1027044677
Star Wars: Episode III - Revenge of the Sith ,115000000,113000000.0,7.6,108435841.0,3661.0,140.0,2005.0,44042,2.35,848998877
Star Wars: Episode II - Attack of the Clones ,115000000,115000000.0,6.7,80027814.0,3161.0,142.0,2002.0,42990,1.78,656695615
"Monsters, Inc. ",115000000,115000000.0,8.1,5040000.0,2618.0,92.0,2001.0,15013,1.85,559757719
The Wolverine ,115000000,120000000.0,6.7,53113752.0,3924.0,138.0,2013.0,23755,2.35,416456852
Dante's Peak ,115000000,116000000.0,5.8,18479435.0,2657.0,108.0,1997.0,1569,2.35,178200000
The Huntsman: Winter's War ,115000000,115000000.0,6.1,19445035.0,3791.0,120.0,2016.0,46719,2.35,164602163
Windtalkers ,115000000,115000000.0,6.0,14520412.0,2898.0,153.0,2002.0,15046,2.35,77628265
Gulliver's Travels ,112000000,112000000.0,4.9,6307691.0,2546.0,85.0,2010.0,1173,2.35,232017848
Gravity ,110000000,100000000.0,7.8,55785112.0,3575.0,91.0,2013.0,87,2.35,716392705
Night at the Museum ,110000000,110000000.0,6.4,42212651.0,2239.67397260274,108.0,2006.0,55486,1.85,579446407
Mr. & Mrs. Smith ,110000000,120000000.0,6.5,50342878.0,3424.0,126.0,2005.0,22722,2.35,486124090
San Andreas ,110000000,110000000.0,6.1,54588173.0,3777.0,114.0,2015.0,16718,2.35,469590832
The Smurfs ,110000000,110000000.0,5.5,35611637.0,3395.0,103.0,2011.0,692,1.78,563749323
Live Free or Die Hard ,110000000,110000000.0,7.2,33369559.0,3408.0,129.0,2007.0,13961,2.35,382288147
Ocean's Twelve ,110000000,110000000.0,6.4,39153380.0,3290.0,125.0,2004.0,19359,2.35,362989076
Tomorrow Never Dies ,110000000,110000000.0,6.5,25143007.0,2807.0,119.0,1997.0,2958,2.35,339504276
The Patriot ,110000000,110000000.0,7.1,22413710.0,3061.0,142.0,2000.0,19454,2.35,215300000
300: Rise of an Empire ,110000000,110000000.0,6.2,45038460.0,3470.0,102.0,2014.0,10583,2.35,330780051
The Aviator ,110000000,110000000.0,7.5,858021.0,40.0,170.0,2004.0,34582,2.35,208370892
The Green Hornet ,110000000,120000000.0,5.8,33526876.0,3584.0,119.0,2011.0,13391,2.35,229155503
Real Steel ,110000000,110000000.0,7.1,27319677.0,3440.0,127.0,2011.0,22254,2.35,263880341
The Smurfs 2 ,110000000,105000000.0,5.4,17548389.0,3866.0,105.0,2013.0,914,1.85,348547523
The Taking of Pelham 1 2 3 ,110000000,100000000.0,6.4,23373102.0,3.0,106.0,2009.0,19906,2.35,152364370
Ender's Game ,110000000,110000000.0,6.7,27017351.0,3407.0,114.0,2013.0,12908,2.35,89737191
Home on the Range ,110000000,110000000.0,5.4,13880771.0,3047.0,76.0,2004.0,13607,1.78,76482461
Speed 2: Cruise Control ,110000000,160000000.0,3.7,16158942.0,2615.0,121.0,1997.0,2027,2.35,150468000
The Lord of the Rings: The Fellowship of the Ring ,109000000,93000000.0,8.8,66114741.0,3359.0,171.0,2001.0,22342,2.35,887217688
The Cat in the Hat ,109000000,109000000.0,3.8,38329160.0,3464.0,82.0,2003.0,2762,1.85,133818283
Ali ,109000000,107000000.0,6.8,10216625.0,2446.0,165.0,2001.0,14196,2.35,87683966
The Martian ,108000000,108000000.0,8.1,54308575.0,3831.0,151.0,2015.0,14831,2.35,640055863
"I, Robot ",105000000,120000000.0,7.1,52179887.0,3420.0,115.0,2004.0,12068,2.35,348629585
Stuart Little ,105000000,133000000.0,5.9,15018223.0,2878.0,84.0,1999.0,3382,1.85,298815224
The Princess and the Frog ,105000000,105000000.0,7.1,786190.0,2.0,97.0,2009.0,2480,1.85,270997378
Town & Country ,105000000,90000000.0,4.4,3029858.0,2222.0,104.0,2001.0,3133,1.85,10364769
Gone in Sixty Seconds ,103300000,90000000.0,6.5,25336048.0,3006.0,127.0,2000.0,29069,2.35,232643008
Gladiator ,103000000,103000000.0,8.5,34819017.0,2938.0,171.0,2000.0,6521,2.35,457683805
Public Enemies ,102500000,100000000.0,7.0,25271675.0,3334.0,140.0,2009.0,64599,2.35,212282709
Minority Report ,102000000,102000000.0,7.7,35677125.0,3001.0,145.0,2002.0,12546,2.35,358824714
Cloud Atlas ,102000000,102000000.0,7.5,9612247.0,2008.0,172.0,2012.0,22686,2.35,130673154
Harry Potter and the Chamber of Secrets ,100000000,100000000.0,7.4,88357488.0,3682.0,174.0,2002.0,35672,2.35,878979634
National Treasure ,100000000,100000000.0,6.9,35142554.0,3017.0,131.0,2004.0,13679,2.35,331323410
Django Unchained ,100000000,100000000.0,8.5,30688000.0,3010.0,165.0,2012.0,40978,2.35,449948323
Little Fockers ,100000000,100000000.0,5.5,30833665.0,3536.0,98.0,2010.0,24082,1.85,310650574
American Gangster ,100000000,100000000.0,7.8,43565135.0,3054.0,176.0,2007.0,20354,1.85,267985456
Cloudy with a Chance of Meatballs ,100000000,100000000.0,7.0,30304648.0,3119.0,90.0,2009.0,1227,2.35,236827677
