movie_title,country,language,genres,color,content_rating,plot_keywords,director_name,actor_1_name,actor_2_name,actor_3_name
Superman Returns ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,crystal|epic|lex luthor|lois lane|return to earth,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella
Quantum of Solace ,UK,English,Action|Adventure,Color,PG-13,action hero|attempted rape|bond girl|official james bond series|revenge,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear
Pirates of the Caribbean: Dead Man's Chest ,USA,English,Action|Adventure|Fantasy,Color,PG-13,box office hit|giant squid|heart|liar's dice|monster,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport
Man of Steel ,USA,English,Action|Adventure|Fantasy|Sci-Fi,Color,PG-13,based on comic book|british actor playing american character|final battle|origin of hero|reboot,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix
The Chronicles of Narnia: Prince Caspian ,USA,English,Action|Adventure|Family|Fantasy,Color,PG,brother brother relationship|brother sister relationship|good versus evil|king|narnia,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar
The Amazing Spider-Man ,USA,English,Action|Adventure|Fantasy,Color,PG-13,lizard|outcast|spider|spider man|teenager,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka
Jurassic World ,USA,English,Action|Adventure|Sci-Fi|Thriller,Color,PG-13,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy
Transformers: Revenge of the Fallen ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,autobot|decepticon|machine|sun|symbol,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez
Transformers: Age of Extinction ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer
X-Men: The Last Stand ,Canada,English,Action|Adventure|Fantasy|Sci-Fi|Thriller,Color,PG-13,battle|mutant|outrage|walking through a wall|x men,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore
Robin Hood ,USA,English,Action|Adventure|Drama|History,Color,PG-13,1190s|archer|england|king of england|robin hood,Ridley Scott,Mark Addy,William Hurt,Scott Grimes
Battleship ,USA,English,Action|Adventure|Sci-Fi|Thriller,Color,PG-13,box office flop|hawaii|naval|oahu hawaii|ship,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano
Titanic ,USA,English,Drama|Romance,Color,PG-13,artist|love|ship|titanic|wet,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart
Toy Story 3 ,USA,English,Adventure|Animation|Comedy|Family|Fantasy,Color,G,college|day care|escape|teddy bear|toy,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles
Iron Man 3 ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,armor|explosion|human bomb|missile attack|terrorist,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle
Spider-Man 2 ,USA,English,Action|Adventure|Fantasy|Romance,Color,PG-13,death|doctor|scientist|super villain|tentacle,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst
Skyfall ,UK,English,Action|Adventure|Thriller,Color,PG-13,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear
Monsters University ,USA,English,Adventure|Animation|Comedy|Family|Fantasy,Color,G,cheating|fraternity|monster|singing in a car|university,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes
Oz the Great and Powerful ,USA,English,Adventure|Family|Fantasy,Color,PG,circus|magic|magician|oz|witch,Sam Raimi,Tim Holmes,Mila Kunis,James Franco
X-Men: Days of Future Past ,USA,English,Action|Adventure|Fantasy|Sci-Fi|Thriller,Color,PG-13,dystopia|super strength|supernatural power|time paradox|time travel,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman
The Amazing Spider-Man 2 ,USA,English,Action|Adventure|Fantasy|Sci-Fi,Color,PG-13,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak
Cars 2 ,USA,English,Adventure|Animation|Comedy|Family|Sport,Color,G,best friend|car race|conspiracy|gadget car|spy,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard
TRON: Legacy ,USA,English,Action|Adventure|Sci-Fi,Color,PG,arcade|bridge|disappearance|escape|warrior,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain
2012 ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,ark|catastrophe|geologist|president|writer,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy
Terminator Salvation ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,death row|future|machine|rescue|skynet,McG,Christian Bale,Bryce Dallas Howard,Common
Green Lantern ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,autopsy|lantern|planet|ring|test pilot,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi
Prince of Persia: The Sands of Time ,USA,English,Action|Adventure|Fantasy|Romance,Color,PG-13,alamut|dagger|king|persia|princess,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie
Transformers: Dark of the Moon ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,autobot|decepticon|job interview|moon|spacecraft,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn
Jack the Giant Slayer ,USA,English,Adventure|Fantasy,Color,PG-13,bean|giant|king|no opening credits|princess,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown
Furious 7 ,USA,English,Action|Crime|Thriller,Color,PG-13,car falling off a cliff|hospital|revenge|star died before release|terrorist,James Wan,Jason Statham,Paul Walker,Vin Diesel
Star Trek Into Darkness ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,admiral|captain|manhunt|mission|space,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke
World War Z ,USA,English,Action|Adventure|Horror|Sci-Fi|Thriller,Color,PG-13,chaos|disease|infection|pandemic|zombie,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos
A Christmas Carol ,USA,English,Animation|Drama|Family|Fantasy,Color,PG,charles dickens|christmas|christmas eve|ghost|scrooge,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman
Pacific Rim ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,giant monster|kaiju|pilot|portal|robot,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell
The Good Dinosaur ,USA,English,Adventure|Animation|Comedy|Family|Fantasy,Color,PG,apatosaurus|asteroid|dinosaur|fear|river,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn
Iron Man ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,afghanistan|billionaire|inventor|playboy|u.s. air force,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau
The Dark Knight ,USA,English,Action|Crime|Drama|Thriller,Color,PG-13,based on comic book|dc comics|psychopath|star died before release|urban setting,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman
Indiana Jones and the Kingdom of the Crystal Skull ,USA,English,Action|Adventure|Fantasy,Color,PG-13,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent
Brave ,USA,English,Adventure|Animation|Comedy|Family|Fantasy,Color,PG,archery|coming of age|female warrior|princess|rebellious daughter,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters
Star Trek Beyond ,USA,English,Action|Adventure|Sci-Fi|Thriller,Color,PG-13,hatred|sequel|space opera|star trek|third part,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",USA,English,Adventure|Family|Fantasy,Color,PG,hide and seek|lion|magic|professor|snow,Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi
Maleficent ,USA,English,Action|Adventure|Family|Fantasy|Romance,Color,PG,curse|dark fantasy|fairy|king|kingdom,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley
WALL·E ,USA,English,Adventure|Animation|Family|Sci-Fi,Color,G,earth|obesity|plant|robot|soil,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin
Hugo ,USA,English,Adventure|Drama|Family|Mystery,Color,PG,automaton|mechanical|railway station|steampunk|train,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone
Jupiter Ascending ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne
X-Men: Apocalypse ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,mutant|superhero|superhero team|x men|year 1983,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan
Edge of Tomorrow ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,alien|combat|dying repeatedly|end of the world|time loop,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor
Inside Out ,USA,English,Adventure|Animation|Comedy|Drama|Family|Fantasy,Color,PG,anger|joy|memory|running away|sadness,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith
Up ,USA,English,Adventure|Animation|Comedy|Family,Color,PG,balloon|house|promise|retirement|skeleton,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell
Monsters vs. Aliens ,USA,English,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Color,PG,alien|alien invasion|alien space craft|giant|giantess,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert
Suicide Squad ,USA,English,Action|Adventure|Comedy|Sci-Fi,Color,PG-13,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz
G.I. Joe: The Rise of Cobra ,USA,English,Action|Adventure|Sci-Fi|Thriller,Color,PG-13,cobra|gi joe|snake|train|warhead,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard
Wild Wild West ,USA,English,Action|Comedy|Sci-Fi|Western,Color,PG-13,buddy movie|general|inventor|steampunk|utah,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling
The Mummy: Tomb of the Dragon Emperor ,USA,English,Action|Adventure|Fantasy|Horror|Thriller,Color,PG-13,army|china|emperor|mummy|shangri la,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong
Evan Almighty ,USA,English,Comedy|Family|Fantasy,Color,PG,ark|change|congressman|depiction of god|flood,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell
Waterworld ,USA,English,Action|Adventure|Sci-Fi|Thriller,Color,PG-13,future|sail|sea|smoker|water,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae
47 Ronin ,USA,English,Action|Adventure|Drama|Fantasy,Color,PG-13,box office flop|ronin|samurai|shogun|tournament,Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi
Guardians of the Galaxy ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,bounty hunter|outer space|raccoon|talking animal|tree,James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou
Iron Man 2 ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,hammer|military|monaco|revenge|tony stark,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau
Captain America: The Winter Soldier ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,conspiracy|heroism|megalomaniac|super soldier|world domination,Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell
Dawn of the Planet of the Apes ,USA,English,Action|Adventure|Drama|Sci-Fi,Color,PG-13,ape|dam|leader|post apocalypse|sequel,Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee
The Polar Express ,USA,English,Adventure|Animation|Family|Fantasy,Color,G,boy|christmas|christmas eve|north pole|train,Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari
Snow White and the Huntsman ,USA,English,Action|Adventure|Drama|Fantasy,Color,PG-13,evil queen|fairy tale|magic|queen|snow white,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin
Terminator 3: Rise of the Machines ,USA,English,Action|Sci-Fi,Color,R,drifter|exploding truck|future|machine|skynet,Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy
Alice Through the Looking Glass ,USA,English,Adventure|Family|Fantasy,Color,PG,clock|dark fantasy|mad hatter|queen|sequel,James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway
Shrek Forever After ,USA,English,Adventure|Animation|Comedy|Family|Fantasy,Color,PG,alternate world|fairy tale parody|female warrior|ogre|true love,Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place
Big Hero 6 ,USA,English,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Color,PG,high tech|martial arts|masked man|robot|superhero,Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi
How to Train Your Dragon ,USA,English,Adventure|Animation|Family|Fantasy,Color,PG,dragon|island|training|viking|village,Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson
Wreck-It Ralph ,USA,English,Adventure|Animation|Comedy|Family|Sci-Fi,Color,PG,arcade|candy|glitch|king|medal,Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio
Interstellar ,USA,English,Adventure|Drama|Sci-Fi,Color,PG-13,black hole|father daughter relationship|saving the world|space travel|wormhole,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy
Independence Day: Resurgence ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,alien|battle|defense|independence day|mothership,Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch
Shrek the Third ,USA,English,Adventure|Animation|Comedy|Family|Fantasy,Color,PG,disney spoof|fairy tale|prince|princess|tough guy,Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett
The Hunger Games: Mockingjay - Part 2 ,USA,English,Adventure|Sci-Fi,Color,PG-13,death of sister|dystopia|execution|rebellion|revolution,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson
X-Men: First Class ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,cia|cia agent|mutant|nuclear war|professor,Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt
The Curious Case of Benjamin Button ,USA,English,Drama|Fantasy|Romance,Color,PG-13,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond
The Sorcerer's Apprentice ,USA,English,Action|Adventure|Family|Fantasy,Color,PG,chosen one|enchanted object|love|spell|training,Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron
Poseidon ,USA,English,Action|Adventure|Drama|Thriller,Color,PG-13,cruise|escape|ocean|passenger|water,Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher
Warcraft ,USA,English,Action|Adventure|Fantasy,Color,PG-13,based on video game|fictional language|fictional war|orc|sword and sorcery,Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga
The Chronicles of Narnia: The Voyage of the Dawn Treader ,USA,English,Adventure|Family|Fantasy,Color,PG,dragon|king|mouse|quest|warrior,Michael Apted,Bruce Spence,Shane Rangi,Laura Brent
Terminator Genisys ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,alternate timeline|cyborg|future|robot|time machine,Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith
Alexander ,Germany,English,Action|Adventure|Biography|Drama|History|Romance|War,Color,R,ancient greece|conquest|greek|greek myth|king,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed
Pearl Harbor ,USA,English,Action|Drama|History|Romance|War, Black and White,PG-13,air raid|black smoke|japanese military|japanese navy|sunday,Michael Bay,Jennifer Garner,Jaime King,Mako
Frozen ,USA,English,Adventure|Animation|Comedy|Family|Fantasy|Musical,Color,PG,magic|sister love|sister sister relationship|snow|snowman,Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch
Harry Potter and the Order of the Phoenix ,UK,English,Adventure|Family|Fantasy|Mystery,Color,PG-13,battle|magic|school|teacher|wizard,David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw
Harry Potter and the Goblet of Fire ,UK,English,Adventure|Family|Fantasy|Mystery,Color,PG-13,fire|goblet|magic|tournament|wizard,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint
The Matrix Reloaded ,USA,English,Action|Sci-Fi,Color,R,car motorcycle chase|one against many|oracle|prophecy|stylized violence,Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis
I Am Legend ,USA,English,Drama|Horror|Sci-Fi,Color,PG-13,new york city|pandemic|post apocalypse|survivalist|virus,Francis Lawrence,Will Smith,Alice Braga,Willow Smith
Hancock ,USA,English,Action|Drama,Color,PG-13,bully comeuppance|destruction|prison|superhero|tough girl,Peter Berg,Will Smith,Charlize Theron,Eddie Marsan
Charlie and the Chocolate Factory ,USA,English,Adventure|Comedy|Family|Fantasy,Color,PG,chocolate|diminution|miniaturization|physical flexability|ticket,Tim Burton,Johnny Depp,Christopher Lee,David Kelly
Ratatouille ,USA,English,Animation|Comedy|Family|Fantasy,Color,G,chef|food|french|rat|restaurant,Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy
Thor: The Dark World ,USA,English,Action|Adventure|Fantasy,Color,PG-13,arrest|portal|thor|warrior|weapon,Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins
Batman Begins ,USA,English,Action|Adventure,Color,PG-13,armored car|gangster|gotham|mixed martial arts|social decay,Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman
Mission: Impossible - Rogue Nation ,China,English,Action|Adventure|Thriller,Color,PG-13,capture|computer hacker|mission|rogue agent|spy,Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris
Thor ,USA,English,Action|Adventure|Fantasy,Color,PG-13,battle|marvel cinematic universe|scientist|thor|throne,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins
Madagascar: Escape 2 Africa ,USA,English,Action|Adventure|Animation|Comedy|Family,Color,PG,africa|madagascar|new york city|sequel|zoo,Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer
X-Men Origins: Wolverine ,USA,English,Action|Adventure|Fantasy|Sci-Fi|Thriller,Color,PG-13,army|civil war|claw fight|commando|wolverine the character,Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan
Night at the Museum: Battle of the Smithsonian ,USA,English,Adventure|Comedy|Family|Fantasy,Color,PG,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan
Kung Fu Panda 2 ,USA,English,Action|Adventure|Animation|Comedy|Family,Color,PG,china|kung fu|panda|peacock|tigress,Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell
Mad Max: Fury Road ,Australia,English,Action|Adventure|Sci-Fi|Thriller,Color,R,australia|desert|escape|on the run|post apocalypse,George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz
The Matrix Revolutions ,Australia,English,Action|Sci-Fi,Color,R,battle|epic|fight|future|machine,Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye
Mission: Impossible III ,USA,English,Action|Adventure|Thriller,Color,PG-13,arms dealer|fictional government agency|mission|rescue|vatican,J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan
Angels & Demons ,USA,English,Mystery|Thriller,Color,PG-13,conclave|illuminati|murder|reference to bernini|reference to raphael,Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl
The Last Airbender ,USA,English,Action|Adventure|Family|Fantasy,Color,PG,avatar|fire|kingdom|tribe|water,M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi
Bee Movie ,USA,English,Adventure|Animation|Comedy|Family,Color,PG,bee|dream sequence|egg|scatological humor|squashed bug,Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn
G-Force ,USA,English,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Color,PG,fbi director|guinea pig|household appliance|secret agent|talking mouse,Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash
Wrath of the Titans ,USA,English,Action|Adventure|Fantasy,Color,PG-13,ares|hades|titan|underworld|zeus,Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James
Beowulf ,USA,English,Action|Adventure|Animation|Fantasy,Color,PG-13,creature|demon|king|reward|warrior,Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché
Dark Shadows ,USA,English,Comedy|Fantasy|Horror,Color,PG-13,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee
White House Down ,USA,English,Action|Drama|Thriller,Color,PG-13,black u.s. president|president|secret service|tour|white house,Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven
The Wolfman ,USA,English,Drama|Fantasy|Horror|Thriller,Color,R,asylum|death|full moon|transformation|werewolf,Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik
Mars Needs Moms ,USA,English,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Color,PG,boy|martian|rescue|robot|sexism,Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott
Flushed Away ,UK,English,Adventure|Animation|Comedy|Family,Color,PG,boat|frog|rat|sewer|toad,David Bowers,Hugh Jackman,Kate Winslet,David Suchet
Madagascar 3: Europe's Most Wanted ,USA,English,Adventure|Animation|Comedy|Family,Color,PG,animal|circus|island name in title|lemur|penguin,Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer
Mission: Impossible - Ghost Protocol ,USA,English,Action|Adventure|Thriller,Color,PG-13,dubai|kremlin|race against time|russian|terrorist,Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist
How to Train Your Dragon 2 ,USA,English,Action|Adventure|Animation|Comedy|Family|Fantasy,Color,PG,dragon|father son relationship|husband wife relationship|mother son relationship|viking,Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera
Train ,USA,English,Horror|Thriller,Color,R,blood splatter|heart ripped out|jock strap|train|vomiting,Gideon Raff,Gideon Emery,Gloria Votsis,Derek Magyar
Mr. Peabody & Sherman ,USA,English,Adventure|Animation|Comedy|Family|Sci-Fi,Color,PG,dog|father son relationship|inventor|talking dog|time travel,Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar
Rise of the Guardians ,USA,English,Adventure|Animation|Family|Fantasy,Color,PG,belief|box office hit|children|new york city|tooth,Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin
Sahara ,UK,English,Action|Adventure|Comedy|Thriller,Color,PG-13,beach|civil war|desert|dictator|ship,Breck Eisner,Matthew McConaughey,Rainn Wilson,Delroy Lindo
Die Another Day ,UK,English,Action|Adventure|Thriller, Black and White,PG-13,catfight|clinic|colonel|diamond|patricide,Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune
Star Trek ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,box office hit|future|lifted by the throat|star trek|vulcan,J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood
Armageddon ,USA,English,Action|Adventure|Sci-Fi|Thriller,Color,PG-13,asteroid|astronaut|bomb|meteorite|outer space,Michael Bay,Bruce Willis,Steve Buscemi,Will Patton
Captain America: The First Avenger ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,arctic|captain america|scientist|tesseract|war bond,Joe Johnston,Chris Evans,Dominic Cooper,Hayley Atwell
Kung Fu Panda 3 ,USA,English,Action|Adventure|Animation|Comedy|Family,Color,PG,china|kung fu|panda|pig|village,Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight
G.I. Joe: Retaliation ,USA,English,Action|Adventure|Sci-Fi|Thriller,Color,PG-13,general|gi joe|martial arts|ninja|president,Jon M. Chu,Channing Tatum,Dwayne Johnson,Elodie Yung
The Last Samurai ,USA,English,Action|Drama|History|War,Color,R,captain|emperor|honor|japan|samurai,Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg
